#REGION,COUNTRY,DATACENTER,ADDITIONAL INFO,SUBNET,
NA,US,WDC,Wood Dale,10.2.x.x,
NA,US,CER,350 E. Cermak,10.3.x.x,
NA,US,CHI,Chicago,10.4.x.x,
NA,US,NY,New York,10.11.160.,
NA,US,NY,New York,10.11.32.,
NA,US,CHI,Chicago,10.138.30.,
NA,US,CHI,Chicago,10.138.32.,
NA,US,CHI,Chicago DHCP,10.138.33.,
NA,US,CHI,Chicago,10.138.34.,
NA,US,CHI,Chicago,10.138.39.,
NA,US,CHI,Chicago,10.138.42.,
NA,US,WDC,Wood Dale,10.138.48.,
NA,US,WDC,Wood Dale,10.138.98.,
NA,US,WPL,New York,10.18.100.,
NA,US,WPL,New York,10.18.32.,
NA,US,WDC,Wood Dale,10.201.34.,
NA,US,WDC,Wood Dale,10.201.44.,
NA,US,CER,350 E. Cermak,10.203.32.,
NA,US,CER,350 E. Cermak,10.203.33.,
NA,US,OAK,Oak Brook,10.7.1.,
NA,US,CME,Chicago Mercantile Exchange,10.7.17.,
NA,US,OAK,Oak Brook,10.7.4.,
NA,US,OAK,Oak Brook,10.7.6.,
NA,US,CER,350 E. Cermak,10.8.1.,
NA,US,CER,350 E. Cermak,10.8.6.,
NA,US,CER,350 E. Cermak,10.9.1.,
NA,US,WDC,Wood Dale,172.20.2.,
NA,US,NJS,Secaucus NJ,10.34.x.x,
NA,CA,MON,Montreal,10.27.x.x,
NA,CA,TOR,Toronto,10.28.x.x,
EU,FR,PAR,Champs Elysee,10.66.2.x,
EU,FR,PAR,Champs Elysee,10.66.31.x,
EU,FR,PAR,Champs Elysee,10.66.32.x,
EU,FR,PAR,Champs Elysee,10.66.51.x,
EU,FR,PAR,Champs Elysee,10.66.61.x,
EU,FR,PAR,Champs Elysee,10.66.96.x,
EU,UK,LDC,Park Royal,10.92.x.x,
EU,ES,MDR,Madrid,10.101.132.x,
EU,ES,MDR,Madrid,10.103.8.x,
EU,UK,LDC,Park Royal,10.138.253.x,
EU,UK,LDC,Park Royal,10.138.249.x,
EU,UK,LDC,Park Royal,10.138.251.x,
EU,UK,LDN,BSQ,10.90.x.x,
EU,UK,LDN,BSQ,192.168.x.x,
EU,FR,PAR,Champs Elysee,199.180.224.x,
EU,FR,PAR,Champs Elysee,199.180.225.x,
EU,FR,PAR,Champs Elysee,10.66.1.x,
EU,FR,PAR,Champs Elysee,10.66.4.x,
EU,FR,PDR,Noisy,10.66.192.0,
AP,SG,SDR,(Bedok NCS)  Server Subnet,10.129.201.x,
AP,HK,HKG,Prod Server,10.131.1.x,
AP,HK,HKG,Prod Server,10.131.11.x,
AP,HK,HKG,Prod Server,10.131.12.x,
AP,HK,HDC,Equinix DC DR Servers,10.131.3.x,
AP,JP,TOK,Application Server Network,10.134.110.x,
AP,JP,TOK,Application Server Network,10.134.112.x,
AP,JP,TOK,Prod Server,10.134.113.x,
AP,JP,TOK,Prod Server,10.134.119.x,
AP,JP,TOK,Bleach DMZ,10.134.120.x,
AP,JP,TOK,JSOES,10.134.122.x,
AP,JP,TOK,RX Indicative & DMZ Application,10.134.144.x,
AP,JP,TOK,Dev DMZ,10.134.162.x,
AP,JP,TOK,Dev DMZ,10.134.163.x,
AP,JP,TOK,KVH,10.134.203.x,
AP,JP,TOS,OSE Colo,10.134.213.x,
AP,JP,TOS,Customer Subnets,10.134.222.x,
AP,JP,TDR,DRDC at Senriyama,10.134.240.x,
AP,JP,TOK,IT Infra Server,10.134.47.x,
AP,JP,TOK,ORC servers,10.134.155.x,
AP,JP,TOK,UL Servers,10.134.157.x,
AP,JP,TOK,SDMA servers,10.134.164.x,
AP,JP,TDR,SDMA servers,10.134.244.x,
AP,JP,TDR,Legacy Bleach Servers,10.134.30.x,
AP,AU,SYO,User Subnet,10.135.1.x,
AP,AU,SYO,User Voice 1,10.135.136.x,
AP,AU,SYD,DC Internal Servers,10.135.204.x,
AP,AU,ASC,Network Management,10.135.216.x,
AP,AU,SYD,PATS GL Trade ORC,10.135.232.x,
AP,AU,SYD,Web DMZ,10.135.254.x,
AP,SG,SDC,Legacy Server Subnet,10.138.157.x,
AP,SG,SDC,Legacy Server Subnet,10.138.158.x,
AP,SK,SEO,Legacy Subnet,10.138.56.x,
AP,HK,HDC,Prod Server Farm,10.152.144.x,
AP,HK,HDC,Prod Server Farm,10.152.145.x,
AP,HK,HDC,Prod Server Farm,10.152.147.x,
AP,HK,HKG,Prod Server,10.152.16.x,
